"gene","cell","garp_score","p_value"
"CASP5","BT-474","-0.3547904","0.202"
"CASP5","BT-549","-0.3125728","0.423"
"CASP5","CAL-51","-0.1592178","0.414"
"CASP5","CAMA-1","-0.2626604","0.544"
"CASP5","EFM-19","-0.08430775","0.664"
"CASP5","HCC1143","-0.4163418","0.413"
"CASP5","HCC1187","-0.1087924","0.862"
"CASP5","HCC1395","-0.07601281","0.913"
"CASP5","HCC1419","-0.145655","0.591"
"CASP5","HCC1428","-0.3221279","0.602"
"CASP5","HCC1500","-0.145574","0.593"
"CASP5","HCC1806","-0.2806825","0.71"
"CASP5","HCC1937","-0.2430415","0.273"
"CASP5","HCC1954","-0.1281902","0.561"
"CASP5","HCC38","-0.3133441","0.356"
"CASP5","Hs 578T","-0.09517044","0.396"
"CASP5","KPL-1","-0.1054446","0.391"
"CASP5","MCF7","-0.004412664","0.865"
"CASP5","MDA-MB-157","-0.2069195","0.367"
"CASP5","MDA-MB-231","-0.09699738","0.687"
"CASP5","MDA-MB-361","-0.08121471","0.798"
"CASP5","MDA-MB-436","-0.2352994","0.549"
"CASP5","MDA-MB-453","-0.01929637","0.515"
"CASP5","MDA-MB-468","-0.06923976","0.65"
"CASP5","SK-BR-3","-0.1104423","0.839"
"CASP5","SW527","-0.08164552","0.661"
"CASP5","T-47D","-0.543775","0.059"
"CASP5","ZR-75-1","-0.1045794","0.874"
"CASP5","609050M","-0.1354943","0.638"
"CASP5","A2780","0.004765371","0.768"
"CASP5","A2780_CIS","-0.2608101","0.132"
"CASP5","MM_OVCAR432_Bast_1","-0.5799589","0.517"
"CASP5","OV-1946","-0.2838227","0.742"
"CASP5","OV-90","-0.02241672","0.92"
"CASP5","OVCA1369_TR","-1.665293","0.256"
"CASP5","OVCA433_Bast","-0.4849769","0.628"
"CASP5","OVCA5","-0.1310317","0.611"
"CASP5","OVCA8","-0.396954","0.221"
"CASP5","OVCAR-3","-0.3411422","0.592"
"CASP5","SK-OV-3","-0.1415198","0.244"
"CASP5","TOV-1946","-0.4178121","0.395"
"CASP5","TOV-2223G","-0.03327969","0.778"
"CASP5","TOV-3133G","-0.1323225","0.433"
"CASP5","AsPC-1","-0.1261052","0.541"
"CASP5","BxPC-3","-0.07226782","0.912"
"CASP5","CFPAC-1","-0.07731698","0.495"
"CASP5","Capan-2","0.008159009","0.941"
"CASP5","HPAC","-0.04438124","0.711"
"CASP5","HPAF-II","-0.1578626","0.509"
"CASP5","HPDE","-0.4252416","0.887"
"CASP5","Hs 766T","-0.6797912","0.507"
"CASP5","IMIM-PC-1","-0.08110081","0.728"
"CASP5","IMIM-PC-2","-0.05313046","0.654"
"CASP5","KP-3","-0.06338973","0.852"
"CASP5","KP-4","-0.1305177","0.26"
"CASP5","MIA PaCa-2","-0.03639645","0.776"
"CASP5","PANC-1","-0.04387067","0.883"
"CASP5","PL45","-0.1740823","0.538"
"CASP5","PaTu_8988S","-0.07953993","0.475"
"CASP5","PaTu_8988T","-0.1844443","0.187"
"CASP5","Panc 02.03","-0.1733349","0.716"
"CASP5","Panc 03.27","-0.01272795","0.94"
"CASP5","Panc 04.03","-0.2227125","0.361"
"CASP5","Panc 05.04","-0.1019201","0.924"
"CASP5","Panc 08.13","-0.05823885","0.752"
"CASP5","Panc 10.05","-0.09022637","0.654"
"CASP5","RWP-1","-0.07007782","0.664"
"CASP5","SK-PC-1","-0.04389563","0.921"
"CASP5","SK-PC-3","-0.4105638","0.454"
"CASP5","SU.86.86","0.004821622","0.867"
"CASP5","SW1990","-0.1635763","0.526"
"CASP6","BT-20","-0.1826203","0.555"
"CASP6","BT-474","-0.2641845","0.329"
"CASP6","BT-549","-0.1102921","0.865"
"CASP6","CAL-51","-0.1900067","0.282"
"CASP6","CAMA-1","-0.2553036","0.564"
"CASP6","EFM-19","-0.1250827","0.536"
"CASP6","HCC1143","-0.2204287","0.699"
"CASP6","HCC1187","-0.2009236","0.644"
"CASP6","HCC1395","-0.271726","0.5"
"CASP6","HCC1419","-0.1210833","0.667"
"CASP6","HCC1428","-0.5707694","0.357"
"CASP6","HCC1500","-0.2830898","0.272"
"CASP6","HCC1806","-0.4609283","0.457"
"CASP6","HCC1937","-0.1619609","0.424"
"CASP6","HCC1954","-0.04702188","0.87"
"CASP6","HCC38","-0.03463443","0.946"
"CASP6","Hs 578T","-0.1530862","0.219"
"CASP6","KPL-1","-0.06815312","0.69"
"CASP6","MCF7","-0.03640797","0.631"
"CASP6","MDA-MB-157","-0.07887897","0.76"
"CASP6","MDA-MB-231","0.02888153","0.946"
"CASP6","MDA-MB-361","-0.1481785","0.614"
"CASP6","MDA-MB-436","-0.2324799","0.554"
"CASP6","MDA-MB-453","-0.01773126","0.529"
"CASP6","MDA-MB-468","-0.1252674","0.438"
"CASP6","SK-BR-3","-0.1265751","0.812"
"CASP6","SW527","-0.2120351","0.244"
"CASP6","T-47D","-0.3557827","0.24"
"CASP6","ZR-75-1","-0.1883914","0.656"
"CASP6","609050M","-0.1826371","0.476"
"CASP6","A2780","-0.01215358","0.706"
"CASP6","A2780_CIS","-0.01292042","0.841"
"CASP6","MM_OVCAR432_Bast_1","-0.4935999","0.61"
"CASP6","OV-1946","-0.05376031","0.994"
"CASP6","OV-90","-0.0584514","0.797"
"CASP6","OVCA1369_TR","-1.19065","0.412"
"CASP6","OVCA433_Bast","-0.2903675","0.848"
"CASP6","OVCA5","-0.2297597","0.34"
"CASP6","OVCA8","-0.07580382","0.847"
"CASP6","OVCAR-3","-0.296609","0.64"
"CASP6","SK-OV-3","-0.02743025","0.746"
"CASP6","TOV-1946","-0.06943303","0.936"
"CASP6","TOV-2223G","-0.07059403","0.686"
"CASP6","TOV-3133G","-0.08682045","0.591"
"CASP6","AsPC-1","-0.1298893","0.532"
"CASP6","BxPC-3","-0.2118634","0.574"
"CASP6","CFPAC-1","-0.0966377","0.39"
"CASP6","Capan-2","-0.1193955","0.309"
"CASP6","HPAC","-0.07712824","0.489"
"CASP6","HPAF-II","-0.1345029","0.593"
"CASP6","HPDE","-0.2907619","0.908"
"CASP6","Hs 766T","-0.5319065","0.705"
"CASP6","IMIM-PC-1","-0.04453474","0.942"
"CASP6","IMIM-PC-2","-0.09934328","0.376"
"CASP6","KP-3","-0.09220186","0.758"
"CASP6","KP-4","-0.05382508","0.69"
"CASP6","MIA PaCa-2","-0.04347041","0.719"
"CASP6","PANC-1","-0.1209204","0.478"
"CASP6","PL45","-0.09907891","0.792"
"CASP6","PaTu_8988S","-0.09218153","0.418"
"CASP6","PaTu_8988T","-0.09884009","0.503"
"CASP6","Panc 02.03","-0.1962045","0.631"
"CASP6","Panc 03.27","-0.09299789","0.559"
"CASP6","Panc 04.03","-0.08583696","0.817"
"CASP6","Panc 05.04","-0.2754862","0.527"
"CASP6","Panc 08.13","-0.1531208","0.332"
"CASP6","Panc 10.05","-0.07290144","0.719"
"CASP6","RWP-1","-0.01204469","0.862"
"CASP6","SK-PC-1","-0.1049029","0.639"
"CASP6","SK-PC-3","-0.193285","0.869"
"CASP6","SU.86.86","-0.0389407","0.677"
"CASP6","SW1990","-0.1401456","0.597"
"CASP7","BT-20","-0.2775327","0.357"
"CASP7","BT-474","-0.1817649","0.502"
"CASP7","BT-549","-0.4186483","0.273"
"CASP7","CAL-51","-0.2298023","0.182"
"CASP7","CAMA-1","-0.08144307","0.96"
"CASP7","EFM-19","-0.3383835","0.084"
"CASP7","HCC1143","-0.4261829","0.401"
"CASP7","HCC1187","-0.2114561","0.621"
"CASP7","HCC1395","-0.329668","0.392"
"CASP7","HCC1419","-0.1105899","0.699"
"CASP7","HCC1428","-0.6550698","0.285"
"CASP7","HCC1500","-0.3591822","0.178"
"CASP7","HCC1806","-0.9572135","0.048"
"CASP7","HCC1937","-0.2741027","0.23"
"CASP7","HCC1954","-0.1056792","0.664"
"CASP7","HCC38","-0.4515015","0.172"
"CASP7","Hs 578T","0.002382044","0.896"
"CASP7","KPL-1","-0.1742768","0.146"
"CASP7","MCF7","0.01103794","0.94"
"CASP7","MDA-MB-157","-0.2232834","0.33"
"CASP7","MDA-MB-231","-0.2760106","0.331"
"CASP7","MDA-MB-361","-0.3755409","0.177"
"CASP7","MDA-MB-436","-0.5358668","0.126"
"CASP7","MDA-MB-453","-0.01004494","0.595"
"CASP7","MDA-MB-468","-0.1115664","0.477"
"CASP7","SK-BR-3","-0.2892423","0.503"
"CASP7","SW527","-0.2530168","0.151"
"CASP7","T-47D","-0.2615609","0.426"
"CASP7","ZR-75-1","-0.2890846","0.427"
"CASP7","609050M","-0.2733212","0.289"
"CASP7","A2780","-0.1746199","0.192"
"CASP7","A2780_CIS","-0.2189109","0.183"
"CASP7","MM_OVCAR432_Bast_1","-0.776791","0.315"
"CASP7","OV-1946","-0.4272873","0.514"
"CASP7","OV-90","-0.2136852","0.343"
"CASP7","OVCA1369_TR","-1.248759","0.387"
"CASP7","OVCA433_Bast","-0.6403989","0.472"
"CASP7","OVCA5","-0.07540837","0.801"
"CASP7","OVCA8","-0.2227081","0.511"
"CASP7","OVCAR-3","-0.8526548","0.189"
"CASP7","SK-OV-3","-0.1059649","0.357"
"CASP7","TOV-1946","-0.3125665","0.565"
"CASP7","TOV-2223G","-0.2665322","0.305"
"CASP7","TOV-3133G","-0.03820844","0.794"
"CASP7","AsPC-1","-0.1192814","0.567"
"CASP7","BxPC-3","-0.2594568","0.499"
"CASP7","CFPAC-1","-0.1628688","0.147"
"CASP7","Capan-2","-0.1092687","0.347"
"CASP7","HPAC","-0.07909372","0.479"
"CASP7","HPAF-II","-0.322","0.141"
"CASP7","HPDE","-1.047808","0.733"
"CASP7","Hs 766T","-0.7703626","0.394"
"CASP7","IMIM-PC-1","-0.1128877","0.517"
"CASP7","IMIM-PC-2","-0.09999229","0.371"
"CASP7","KP-3","-0.2327242","0.318"
"CASP7","KP-4","-0.073866","0.54"
"CASP7","MIA PaCa-2","-0.178923","0.13"
"CASP7","PANC-1","-0.2878865","0.052"
"CASP7","PL45","-0.2312389","0.365"
"CASP7","PaTu_8988S","-0.1438534","0.232"
"CASP7","PaTu_8988T","-0.240982","0.078"
"CASP7","Panc 02.03","-0.3368187","0.266"
"CASP7","Panc 03.27","-0.1905368","0.227"
"CASP7","Panc 04.03","-0.2254368","0.348"
"CASP7","Panc 05.04","-0.3421241","0.364"
"CASP7","Panc 08.13","-0.2033439","0.198"
"CASP7","Panc 10.05","-0.2543111","0.195"
"CASP7","RWP-1","-0.1770649","0.374"
"CASP7","SK-PC-1","-0.2217902","0.248"
"CASP7","SK-PC-3","-0.3107244","0.642"
"CASP7","SU.86.86","-0.204163","0.154"
"CASP7","SW1990","-0.2219457","0.329"
"CASP8","BT-20","-0.185132","0.548"
"CASP8","BT-474","-0.4534332","0.102"
"CASP8","BT-549","-0.3837662","0.317"
"CASP8","CAL-51","-0.1298331","0.549"
"CASP8","CAMA-1","-0.2385568","0.604"
"CASP8","EFM-19","-0.1551409","0.423"
"CASP8","HCC1143","-0.2582755","0.637"
"CASP8","HCC1187","-0.02579124","0.986"
"CASP8","HCC1395","-0.1059339","0.857"
"CASP8","HCC1419","-0.1533685","0.555"
"CASP8","HCC1428","-0.1938597","0.771"
"CASP8","HCC1500","-0.1812704","0.487"
"CASP8","HCC1806","-0.119271","0.901"
"CASP8","HCC1937","-0.2222695","0.307"
"CASP8","HCC1954","-0.072808","0.781"
"CASP8","HCC38","-0.02507939","0.957"
"CASP8","Hs 578T","-0.07236677","0.504"
"CASP8","KPL-1","-0.06258773","0.738"
"CASP8","MCF7","-0.04645303","0.567"
"CASP8","MDA-MB-157","0.09293178","1"
"CASP8","MDA-MB-231","-0.06916069","0.766"
"CASP8","MDA-MB-361","-0.1813978","0.534"
"CASP8","MDA-MB-436","-0.1334596","0.843"
"CASP8","MDA-MB-453","0.01147719","0.813"
"CASP8","MDA-MB-468","-0.04384871","0.761"
"CASP8","SK-BR-3","-0.5441725","0.171"
"CASP8","SW527","-0.3857986","0.044"
"CASP8","T-47D","-0.1857159","0.602"
"CASP8","ZR-75-1","-0.5131255","0.134"
"CASP8","609050M","-0.09665585","0.775"
"CASP8","A2780","-0.04334683","0.567"
"CASP8","A2780_CIS","-0.06477813","0.614"
"CASP8","MM_OVCAR432_Bast_1","-0.148499","0.928"
"CASP8","OV-1946","-0.1696556","0.908"
"CASP8","OV-90","-0.1751146","0.428"
"CASP8","OVCA1369_TR","-0.2554897","0.901"
"CASP8","OVCA433_Bast","-0.6703309","0.435"
"CASP8","OVCA5","-0.4433269","0.109"
"CASP8","OVCA8","-0.1060502","0.774"
"CASP8","OVCAR-3","-0.2810272","0.657"
"CASP8","SK-OV-3","-0.1657067","0.194"
"CASP8","TOV-1946","-0.2124747","0.75"
"CASP8","TOV-2223G","-0.1130166","0.59"
"CASP8","TOV-3133G","-0.2893945","0.149"
"CASP8","AsPC-1","-0.154566","0.454"
"CASP8","BxPC-3","-0.0560578","0.939"
"CASP8","CFPAC-1","-0.1457612","0.19"
"CASP8","Capan-2","-0.07200941","0.506"
"CASP8","HPAC","-0.01712517","0.887"
"CASP8","HPAF-II","-0.1183667","0.657"
"CASP8","HPDE","-0.4178933","0.887"
"CASP8","Hs 766T","-0.565562","0.658"
"CASP8","IMIM-PC-1","-0.09512616","0.629"
"CASP8","IMIM-PC-2","-0.09123942","0.416"
"CASP8","KP-3","-0.3018592","0.182"
"CASP8","KP-4","-0.09366028","0.44"
"CASP8","MIA PaCa-2","-0.1020134","0.37"
"CASP8","PANC-1","-0.06966268","0.75"
"CASP8","PL45","-0.08542401","0.835"
"CASP8","PaTu_8988S","-0.04825444","0.653"
"CASP8","PaTu_8988T","-0.1048542","0.458"
"CASP8","Panc 02.03","-0.1718246","0.722"
"CASP8","Panc 03.27","-0.01037765","0.946"
"CASP8","Panc 04.03","-0.05833097","0.878"
"CASP8","Panc 05.04","-0.4048322","0.244"
"CASP8","Panc 08.13","-0.07277919","0.69"
"CASP8","Panc 10.05","-0.03494196","0.835"
"CASP8","RWP-1","-0.20326","0.303"
"CASP8","SK-PC-1","-0.04922579","0.902"
"CASP8","SK-PC-3","-0.3340068","0.59"
"CASP8","SU.86.86","-0.07568172","0.517"
"CASP8","SW1990","-0.0296643","0.969"
"CASP9","BT-20","-0.1865868","0.544"
"CASP9","BT-474","-0.07562926","0.809"
"CASP9","BT-549","-0.05700619","0.946"
"CASP9","CAL-51","-0.07652292","0.841"
"CASP9","CAMA-1","-0.1512447","0.805"
"CASP9","EFM-19","-0.1187244","0.554"
"CASP9","HCC1143","-0.01879895","0.955"
"CASP9","HCC1187","-0.3079514","0.409"
"CASP9","HCC1395","-0.1590818","0.743"
"CASP9","HCC1419","-0.09977214","0.741"
"CASP9","HCC1428","-0.5553859","0.369"
"CASP9","HCC1500","-0.04038488","0.903"
"CASP9","HCC1806","-0.2811841","0.709"
"CASP9","HCC1937","-0.07816619","0.641"
"CASP9","HCC1954","-0.2182439","0.321"
"CASP9","HCC38","-0.237275","0.511"
"CASP9","Hs 578T","-0.0287335","0.776"
"CASP9","KPL-1","-0.02244062","0.961"
"CASP9","MCF7","-0.0813039","0.35"
"CASP9","MDA-MB-157","-0.09200222","0.725"
"CASP9","MDA-MB-231","0.05029583","0.973"
"CASP9","MDA-MB-361","-0.01758984","0.944"
"CASP9","MDA-MB-436","-0.1893738","0.674"
"CASP9","MDA-MB-453","0.01612698","0.85"
"CASP9","MDA-MB-468","-0.0377062","0.792"
"CASP9","SK-BR-3","-0.2386392","0.589"
"CASP9","SW527","-0.1869508","0.322"
"CASP9","T-47D","-0.2593083","0.434"
"CASP9","ZR-75-1","-0.269633","0.463"
"CASP9","609050M","-0.2168404","0.398"
"CASP9","A2780","-0.02245995","0.663"
"CASP9","A2780_CIS","-0.1087364","0.441"
"CASP9","MM_OVCAR432_Bast_1","-0.2550949","0.856"
"CASP9","OV-1946","-0.3259873","0.667"
"CASP9","OV-90","-0.2314981","0.313"
"CASP9","OVCA1369_TR","-1.001516","0.48"
"CASP9","OVCA433_Bast","-0.3528709","0.791"
"CASP9","OVCA5","-0.1697992","0.478"
"CASP9","OVCA8","-0.07477093","0.848"
"CASP9","OVCAR-3","-0.6709847","0.314"
"CASP9","SK-OV-3","-0.223032","0.11"
"CASP9","TOV-1946","-0.0930979","0.913"
"CASP9","TOV-2223G","-0.1912237","0.419"
"CASP9","TOV-3133G","-0.2488733","0.188"
"CASP9","AsPC-1","-0.02374562","0.916"
"CASP9","BxPC-3","-0.1732378","0.673"
"CASP9","CFPAC-1","-0.03790116","0.763"
"CASP9","Capan-2","-0.09969774","0.386"
"CASP9","HPAC","-0.0514945","0.654"
"CASP9","HPAF-II","-0.1723562","0.462"
"CASP9","HPDE","-0.9567733","0.765"
"CASP9","Hs 766T","-0.809462","0.343"
"CASP9","IMIM-PC-1","-0.2404782","0.114"
"CASP9","IMIM-PC-2","0.008061003","0.978"
"CASP9","KP-3","-0.0684262","0.833"
"CASP9","KP-4","-0.04992647","0.718"
"CASP9","MIA PaCa-2","-0.02914573","0.832"
"CASP9","PANC-1","-0.01080889","0.984"
"CASP9","PL45","-0.1088205","0.762"
"CASP9","PaTu_8988S","0.02286079","0.998"
"CASP9","PaTu_8988T","-0.07391109","0.668"
"CASP9","Panc 02.03","-0.2262425","0.513"
"CASP9","Panc 03.27","-0.05347458","0.742"
"CASP9","Panc 04.03","-0.1593943","0.552"
"CASP9","Panc 05.04","-0.2623042","0.575"
"CASP9","Panc 08.13","-0.0506741","0.792"
"CASP9","Panc 10.05","-0.1185672","0.546"
"CASP9","RWP-1","-0.04764138","0.755"
"CASP9","SK-PC-1","-0.06722781","0.828"
"CASP9","SK-PC-3","-0.3566836","0.535"
"CASP9","SU.86.86","0.009050665","0.889"
"CASP9","SW1990","-0.08845971","0.815"
"CFLAR","BT-20","-0.5908832","0.052"
"CFLAR","BT-474","-0.5035459","0.081"
"CFLAR","BT-549","-0.1120319","0.86"
"CFLAR","CAL-51","-0.2440968","0.162"
"CFLAR","CAMA-1","-0.9316658","0.011"
"CFLAR","EFM-19","-0.1360725","0.496"
"CFLAR","HCC1143","-0.5010926","0.321"
"CFLAR","HCC1187","-0.6552582","0.057"
"CFLAR","HCC1395","-0.5503002","0.123"
"CFLAR","HCC1419","-0.1837333","0.459"
"CFLAR","HCC1428","-1.287862","0.034"
"CFLAR","HCC1500","-0.3322457","0.208"
"CFLAR","HCC1806","-1.122317","0.017"
"CFLAR","HCC1937","-0.3549706","0.129"
"CFLAR","HCC1954","-0.3555076","0.13"
"CFLAR","HCC38","-0.5552552","0.093"
"CFLAR","Hs 578T","-0.170719","0.186"
"CFLAR","KPL-1","-0.09496075","0.449"
"CFLAR","MCF7","-0.2161254","0.055"
"CFLAR","MDA-MB-157","-0.281616","0.216"
"CFLAR","MDA-MB-231","-0.5765453","0.061"
"CFLAR","MDA-MB-361","-0.3402787","0.209"
"CFLAR","MDA-MB-436","-0.6161723","0.084"
"CFLAR","MDA-MB-453","-0.02174268","0.505"
"CFLAR","MDA-MB-468","-0.262565","0.175"
"CFLAR","SK-BR-3","-0.4892708","0.228"
"CFLAR","SW527","-0.09848384","0.591"
"CFLAR","T-47D","-0.259408","0.434"
"CFLAR","ZR-75-1","-0.5891166","0.081"
"CFLAR","609050M","-0.2073122","0.419"
"CFLAR","A2780","-0.08795577","0.396"
"CFLAR","A2780_CIS","-0.1601547","0.294"
"CFLAR","MM_OVCAR432_Bast_1","-0.8971904","0.224"
"CFLAR","OV-1946","-0.6623001","0.232"
"CFLAR","OV-90","-0.3083963","0.182"
"CFLAR","OVCA1369_TR","-1.679394","0.251"
"CFLAR","OVCA433_Bast","-0.442181","0.684"
"CFLAR","OVCA5","-0.3120086","0.218"
"CFLAR","OVCA8","-0.223543","0.511"
"CFLAR","OVCAR-3","-0.6493382","0.327"
"CFLAR","SK-OV-3","-0.1658011","0.194"
"CFLAR","TOV-1946","-0.5900416","0.183"
"CFLAR","TOV-2223G","-0.3827044","0.197"
"CFLAR","TOV-3133G","-0.04798858","0.74"
"CFLAR","AsPC-1","-0.1256029","0.543"
"CFLAR","BxPC-3","-0.337017","0.347"
"CFLAR","CFPAC-1","-0.1682715","0.133"
"CFLAR","Capan-2","-0.1012451","0.381"
"CFLAR","HPAC","-0.09264525","0.393"
"CFLAR","HPAF-II","-0.2703181","0.204"
"CFLAR","HPDE","-1.871668","0.502"
"CFLAR","Hs 766T","-1.059415","0.116"
"CFLAR","IMIM-PC-1","-0.08130069","0.725"
"CFLAR","IMIM-PC-2","-0.08158362","0.47"
"CFLAR","KP-3","-0.4416259","0.052"
"CFLAR","KP-4","-0.1329843","0.251"
"CFLAR","MIA PaCa-2","-0.1553805","0.175"
"CFLAR","PANC-1","-0.2320857","0.122"
"CFLAR","PL45","-0.3168007","0.174"
"CFLAR","PaTu_8988S","-0.1316702","0.265"
"CFLAR","PaTu_8988T","-0.1880296","0.184"
"CFLAR","Panc 02.03","-0.4429338","0.117"
"CFLAR","Panc 03.27","-0.4343138","0.035"
"CFLAR","Panc 04.03","-0.1449296","0.61"
"CFLAR","Panc 05.04","-0.2715711","0.543"
"CFLAR","Panc 08.13","-0.2423391","0.127"
"CFLAR","Panc 10.05","-0.2030564","0.294"
"CFLAR","RWP-1","-0.1757301","0.375"
"CFLAR","SK-PC-1","-0.2903507","0.116"
"CFLAR","SK-PC-3","-0.8702862","0.03"
"CFLAR","SU.86.86","-0.3703374","0.034"
"CFLAR","SW1990","-0.4139896","0.036"
"CRADD","BT-20","-0.2746209","0.361"
"CRADD","BT-474","-0.2276047","0.406"
"CRADD","BT-549","-0.3484472","0.374"
"CRADD","CAL-51","-0.1600121","0.405"
"CRADD","CAMA-1","-0.3427622","0.382"
"CRADD","EFM-19","-0.21185","0.275"
"CRADD","HCC1143","-0.6998805","0.145"
"CRADD","HCC1187","-0.3609656","0.32"
"CRADD","HCC1395","-0.6290236","0.083"
"CRADD","HCC1419","-0.3334018","0.172"
"CRADD","HCC1428","-1.508359","0.013"
"CRADD","HCC1500","-0.2402989","0.352"
"CRADD","HCC1806","-0.3070186","0.673"
"CRADD","HCC1937","-0.02383261","0.821"
"CRADD","HCC1954","-0.2725461","0.233"
"CRADD","HCC38","-0.6068236","0.07"
"CRADD","Hs 578T","0.02545965","0.968"
"CRADD","KPL-1","-0.1272324","0.284"
"CRADD","MCF7","-0.01100664","0.819"
"CRADD","MDA-MB-157","-0.1207717","0.625"
"CRADD","MDA-MB-231","-0.2504009","0.366"
"CRADD","MDA-MB-361","-0.5115137","0.082"
"CRADD","MDA-MB-436","-0.364696","0.299"
"CRADD","MDA-MB-453","-0.1880901","0.071"
"CRADD","MDA-MB-468","-0.03553344","0.806"
"CRADD","SK-BR-3","-0.3460502","0.414"
"CRADD","SW527","-0.04067425","0.85"
"CRADD","T-47D","-0.2930664","0.354"
"CRADD","ZR-75-1","-0.6240347","0.066"
"CRADD","609050M","-0.2189988","0.393"
"CRADD","A2780","-0.06286101","0.486"
"CRADD","A2780_CIS","-0.2055847","0.201"
"CRADD","MM_OVCAR432_Bast_1","-1.170852","0.084"
"CRADD","OV-1946","-0.5399633","0.364"
"CRADD","OV-90","-0.2046331","0.355"
"CRADD","OVCA1369_TR","-2.899537","0.067"
"CRADD","OVCA433_Bast","-1.190065","0.081"
"CRADD","OVCA5","-0.2235843","0.363"
"CRADD","OVCA8","-0.3733881","0.241"
"CRADD","OVCAR-3","-0.3785632","0.55"
"CRADD","SK-OV-3","0.02253378","0.953"
"CRADD","TOV-1946","-0.6881472","0.095"
"CRADD","TOV-2223G","-0.04207271","0.757"
"CRADD","TOV-3133G","-0.7750741","0.014"
"CRADD","AsPC-1","-0.2092798","0.281"
"CRADD","BxPC-3","-0.5362723","0.108"
"CRADD","CFPAC-1","-0.1532309","0.171"
"CRADD","Capan-2","-0.06750666","0.524"
"CRADD","HPAC","-0.07241692","0.511"
"CRADD","HPAF-II","-0.2277031","0.312"
"CRADD","HPDE","-9.101942","0.001"
"CRADD","Hs 766T","-1.175387","0.059"
"CRADD","IMIM-PC-1","-0.3134352","0.05"
"CRADD","IMIM-PC-2","-0.0874994","0.441"
"CRADD","KP-3","-0.156242","0.528"
"CRADD","KP-4","-0.1489604","0.199"
"CRADD","MIA PaCa-2","-0.2932537","0.024"
"CRADD","PANC-1","0.0018214","0.996"
"CRADD","PL45","-0.2816659","0.245"
"CRADD","PaTu_8988S","-0.179867","0.144"
"CRADD","PaTu_8988T","-0.09721932","0.509"
"CRADD","Panc 02.03","-0.5814197","0.039"
"CRADD","Panc 03.27","-0.1374546","0.374"
"CRADD","Panc 04.03","-0.4998078","0.021"
"CRADD","Panc 05.04","-0.4370459","0.199"
"CRADD","Panc 08.13","-0.1659172","0.296"
"CRADD","Panc 10.05","-0.4658757","0.034"
"CRADD","RWP-1","-0.5784639","0.026"
"CRADD","SK-PC-1","-0.2734416","0.136"
"CRADD","SK-PC-3","-0.4301994","0.416"
"CRADD","SU.86.86","-0.2681776","0.073"
"CRADD","SW1990","-0.1511714","0.566"
"CSE1L","BT-20","-0.4821439","0.109"
"CSE1L","BT-474","-0.331753","0.23"
"CSE1L","BT-549","-0.906354","0.018"
"CSE1L","CAL-51","-0.5565327","0.014"
"CSE1L","CAMA-1","-0.9241703","0.012"
"CSE1L","EFM-19","-0.5138417","0.01"
"CSE1L","HCC1143","-0.8443036","0.079"
"CSE1L","HCC1187","-0.9784126","0.006"
"CSE1L","HCC1395","-0.8581641","0.013"
"CSE1L","HCC1419","-0.4873448","0.059"
"CSE1L","HCC1428","-1.697698","0.007"
"CSE1L","HCC1500","-1.000699","0.001"
"CSE1L","HCC1806","-1.401685","0.003"
"CSE1L","HCC1937","-0.8003883","0.008"
"CSE1L","HCC1954","-0.59921","0.031"
"CSE1L","HCC38","-0.4636705","0.163"
"CSE1L","Hs 578T","-0.3402464","0.037"
"CSE1L","KPL-1","-0.3461592","0.018"
"CSE1L","MCF7","-0.2057632","0.065"
"CSE1L","MDA-MB-157","-0.05967262","0.825"
"CSE1L","MDA-MB-231","-0.9237083","0.014"
"CSE1L","MDA-MB-361","-1.002516","0.004"
"CSE1L","MDA-MB-436","-0.7523744","0.036"
"CSE1L","MDA-MB-453","-0.421865","0.007"
"CSE1L","MDA-MB-468","-0.4056666","0.065"
"CSE1L","SK-BR-3","-0.5372108","0.18"
"CSE1L","SW527","-0.4613227","0.024"
"CSE1L","T-47D","-0.5742056","0.048"
"CSE1L","ZR-75-1","-0.6246545","0.066"
"CSE1L","609050M","-0.3235176","0.201"
"CSE1L","A2780","-0.206457","0.15"
"CSE1L","A2780_CIS","-0.3535275","0.058"
"CSE1L","MM_OVCAR432_Bast_1","-0.6628968","0.423"
"CSE1L","OV-1946","-0.5511215","0.354"
"CSE1L","OV-90","-0.4570215","0.077"
"CSE1L","OVCA1369_TR","-5.489678","0.004"
"CSE1L","OVCA433_Bast","-0.9853748","0.177"
"CSE1L","OVCA5","-0.7312825","0.015"
"CSE1L","OVCA8","-0.8211679","0.003"
"CSE1L","OVCAR-3","-1.265426","0.047"
"CSE1L","SK-OV-3","-0.236159","0.099"
"CSE1L","TOV-1946","-0.9286965","0.008"
"CSE1L","TOV-2223G","-0.5814766","0.086"
"CSE1L","TOV-3133G","-0.2323786","0.215"
"CSE1L","AsPC-1","-0.186151","0.356"
"CSE1L","BxPC-3","-0.6274952","0.056"
"CSE1L","CFPAC-1","-0.05961492","0.604"
"CSE1L","Capan-2","-0.06199741","0.564"
"CSE1L","HPAC","-0.1793736","0.116"
"CSE1L","HPAF-II","-0.4244945","0.053"
"CSE1L","HPDE","-1.491404","0.604"
"CSE1L","Hs 766T","-0.5701413","0.655"
"CSE1L","IMIM-PC-1","-0.4060773","0.018"
"CSE1L","IMIM-PC-2","-0.2444729","0.056"
