"gene","cell","garp_score","p_value"
"AK2","OVCA8","-0.05624581","0.893"
"AK2","OVCAR-3","-0.1116345","0.861"
"AK2","SK-OV-3","0.01127545","0.929"
"AK2","TOV-1946","-0.3008158","0.591"
"AK2","TOV-2223G","-0.1004568","0.617"
"AK2","TOV-3133G","-0.264393","0.169"
"AK2","AsPC-1","-0.08061937","0.721"
"AK2","BxPC-3","-0.3540486","0.319"
"AK2","CFPAC-1","-0.02257081","0.865"
"AK2","Capan-2","0.03537588","0.992"
"AK2","HPAC","-0.03269472","0.785"
"AK2","HPAF-II","-0.05582106","0.88"
"AK2","HPDE","-1.317752","0.658"
"AK2","Hs 766T","-0.809507","0.343"
"AK2","IMIM-PC-1","-0.1143503","0.512"
"AK2","IMIM-PC-2","-0.01325249","0.907"
"AK2","KP-3","-0.07166465","0.819"
"AK2","KP-4","-0.05603286","0.676"
"AK2","MIA PaCa-2","-0.008892762","0.939"
"AK2","PANC-1","-0.1035555","0.55"
"AK2","PL45","-0.05383296","0.918"
"AK2","PaTu_8988S","-0.02100524","0.838"
"AK2","PaTu_8988T","-0.03942791","0.903"
"AK2","Panc 02.03","-0.2738716","0.393"
"AK2","Panc 03.27","-0.01863171","0.914"
"AK2","Panc 04.03","-0.1046724","0.751"
"AK2","Panc 05.04","-0.2891157","0.496"
"AK2","Panc 08.13","-0.1418081","0.379"
"AK2","Panc 10.05","-0.05933053","0.757"
"AK2","RWP-1","-0.1330235","0.478"
"AK2","SK-PC-1","-0.1127041","0.607"
"AK2","SK-PC-3","-0.2536948","0.749"
"AK2","SU.86.86","0.03961223","0.976"
"AK2","SW1990","-0.2050502","0.386"
"ANP32A","BT-20","-0.09486084","0.776"
"ANP32A","BT-474","-0.1300085","0.653"
"ANP32A","BT-549","-0.1193921","0.843"
"ANP32A","CAL-51","-0.175585","0.334"
"ANP32A","CAMA-1","-0.3793975","0.322"
"ANP32A","EFM-19","-0.05289722","0.784"
"ANP32A","HCC1143","-0.07568206","0.892"
"ANP32A","HCC1187","-0.2247349","0.592"
"ANP32A","HCC1395","-0.1599115","0.743"
"ANP32A","HCC1419","-0.1918848","0.436"
"ANP32A","HCC1428","-0.2953353","0.637"
"ANP32A","HCC1500","-0.07672866","0.819"
"ANP32A","HCC1806","-0.4867082","0.415"
"ANP32A","HCC1937","-0.08844791","0.611"
"ANP32A","HCC1954","-0.06214937","0.817"
"ANP32A","HCC38","-0.07493036","0.879"
"ANP32A","Hs 578T","-0.03522606","0.73"
"ANP32A","KPL-1","-0.05557007","0.79"
"ANP32A","MCF7","-0.07166007","0.399"
"ANP32A","MDA-MB-157","-0.2044706","0.373"
"ANP32A","MDA-MB-231","-0.1854458","0.488"
"ANP32A","MDA-MB-361","-0.02308606","0.94"
"ANP32A","MDA-MB-436","-0.3013538","0.4"
"ANP32A","MDA-MB-453","-0.04381507","0.358"
"ANP32A","MDA-MB-468","-0.2554485","0.183"
"ANP32A","SK-BR-3","-0.4452635","0.274"
"ANP32A","SW527","-0.07129211","0.701"
"ANP32A","T-47D","-0.2453428","0.466"
"ANP32A","ZR-75-1","-0.1677134","0.712"
"ANP32A","609050M","0.01364325","0.998"
"ANP32A","A2780","-0.007131899","0.723"
"ANP32A","A2780_CIS","-0.07404594","0.577"
"ANP32A","MM_OVCAR432_Bast_1","-0.2444457","0.864"
"ANP32A","OV-1946","-0.6296442","0.267"
"ANP32A","OV-90","-0.09795375","0.669"
"ANP32A","OVCA1369_TR","-1.192785","0.412"
"ANP32A","OVCA433_Bast","-0.7406728","0.373"
"ANP32A","OVCA5","-0.09928319","0.714"
"ANP32A","OVCA8","-0.2888588","0.381"
"ANP32A","OVCAR-3","-0.2453755","0.696"
"ANP32A","SK-OV-3","-0.01342164","0.819"
"ANP32A","TOV-1946","-0.4304613","0.381"
"ANP32A","TOV-2223G","-0.3210936","0.246"
"ANP32A","TOV-3133G","-0.01772357","0.868"
"ANP32A","AsPC-1","0.0150323","0.994"
"ANP32A","BxPC-3","-0.1360764","0.767"
"ANP32A","CFPAC-1","-0.122838","0.255"
"ANP32A","Capan-2","-0.1553974","0.216"
"ANP32A","HPAC","-0.04200474","0.725"
"ANP32A","HPAF-II","-0.2493341","0.258"
"ANP32A","HPDE","-1.229244","0.686"
"ANP32A","Hs 766T","-0.6747888","0.518"
"ANP32A","IMIM-PC-1","-0.1561347","0.301"
"ANP32A","IMIM-PC-2","-0.04008175","0.749"
"ANP32A","KP-3","-0.1541514","0.532"
"ANP32A","KP-4","-0.1144907","0.339"
"ANP32A","MIA PaCa-2","-0.1527466","0.179"
"ANP32A","PANC-1","-0.07304567","0.717"
"ANP32A","PL45","-0.3260611","0.163"
"ANP32A","PaTu_8988S","-0.07809243","0.482"
"ANP32A","PaTu_8988T","-0.06390723","0.726"
"ANP32A","Panc 02.03","-0.3322624","0.278"
"ANP32A","Panc 03.27","-0.1315001","0.407"
"ANP32A","Panc 04.03","-0.1675841","0.531"
"ANP32A","Panc 05.04","-0.2404403","0.627"
"ANP32A","Panc 08.13","-0.09642656","0.57"
"ANP32A","Panc 10.05","-0.07479677","0.713"
"ANP32A","RWP-1","-0.1141399","0.533"
"ANP32A","SK-PC-1","-0.1861564","0.332"
"ANP32A","SK-PC-3","-0.5253433","0.29"
"ANP32A","SU.86.86","-0.0331231","0.706"
"ANP32A","SW1990","-0.1370551","0.606"
"APAF1","BT-20","-0.1290992","0.683"
"APAF1","BT-474","-0.3042192","0.266"
"APAF1","BT-549","-0.3433788","0.382"
"APAF1","CAL-51","-0.1939794","0.275"
"APAF1","CAMA-1","-0.1842834","0.739"
"APAF1","EFM-19","-0.07975981","0.682"
"APAF1","HCC1143","-0.2532032","0.649"
"APAF1","HCC1187","-0.3856105","0.268"
"APAF1","HCC1395","-0.4431398","0.226"
"APAF1","HCC1419","-0.2009859","0.415"
"APAF1","HCC1428","-0.5569545","0.369"
"APAF1","HCC1500","-0.1804268","0.488"
"APAF1","HCC1806","-0.5827365","0.298"
"APAF1","HCC1937","-0.1549446","0.438"
"APAF1","HCC1954","-0.1645891","0.454"
"APAF1","HCC38","-0.2432697","0.495"
"APAF1","Hs 578T","-0.1649355","0.197"
"APAF1","KPL-1","-0.1514508","0.199"
"APAF1","MCF7","-0.1024054","0.24"
"APAF1","MDA-MB-157","-0.1681426","0.464"
"APAF1","MDA-MB-231","-0.2595285","0.351"
"APAF1","MDA-MB-361","-0.03501945","0.917"
"APAF1","MDA-MB-436","-0.319764","0.367"
"APAF1","MDA-MB-453","-0.02477336","0.479"
